Query,RR,AP@N,P@N,Recall@N,Cut
1,1.0,0.5821428571428571,0.4,0.006279434850863423,10
2,0.2,0.24285714285714285,0.2,0.006369426751592357,10
3,0.25,0.27777777777777773,0.3,0.004777070063694267,10
4,0.0,0.0,0.0,0.0,10
5,1.0,0.9111111111111111,0.5,0.008143322475570033,10
6,1.0,0.9472222222222222,0.8,0.008342022940563087,10
7,0.5,0.7347222222222223,0.8,0.016632016632016633,10
8,1.0,0.625,0.3,0.004746835443037975,10
9,1.0,0.8333333333333334,0.3,0.015706806282722512,10
10,0.5,0.3619047619047619,0.3,0.00631578947368421,10
11,1.0,1.0,0.6,0.014457831325301205,10
12,0.1,0.1,0.1,0.0016233766233766235,10
13,0.2,0.26666666666666666,0.2,0.002306805074971165,10
14,1.0,0.9060405643738976,0.9,0.03529411764705882,10
15,1.0,0.5535714285714285,0.3,0.0070921985815602835,10
16,1.0,0.8736394557823128,0.7,0.01808785529715762,10
17,0.5,0.6210884353741496,0.7,0.010479041916167664,10
18,1.0,0.7260912698412698,0.8,0.012738853503184714,10
19,1.0,0.85,0.4,0.036036036036036036,10
20,1.0,1.0,1.0,0.014245014245014245,10
-,0.75,0.6533246973253238,0.5052631578947369,0.012088097640188046,10
